Hello!	Hi! How are you?
i like to go to the gym .	You must be in a good shape. What are you hobbies
You must be in a good shape. What are you hobbies	i like to read and read
i like to read and read	What do you read
What do you read	i read a lot of books
i read a lot of books	Are you married? I like fires
Are you married? I like fires	i am not sure . i am a bit of a loner .
i am not sure . i am a bit of a loner .	Ha ha. Thats ok i am too
Ha ha. Thats ok i am too	what do you do for a living ?
Hi there !	hi, how are you? I just got back from rob dryden. what is your favourite skater?
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	I'm fine
I'm fine	what do you do for a living ?
what do you do for a living ?	mmm I'm doctor
mmm I'm doctor	what do you do for a living ?
what do you do for a living ?	I'm doctor
I'm doctor	oh , that is cool . i'm a doctor .
oh , that is cool . i'm a doctor .	yep?
yep?	i love to read
i love to read	I like reading too
I like reading too	what do you read ?
what do you read ?	Latin American literature
Latin American literature	i speak spanish and spanish
i speak spanish and spanish	and u?
and u?	what do you do for a living ?
what do you do for a living ?	oh really?
oh really?	what do you do for a living ?
what do you do for a living ?	you ask me it before
you ask me it before	what do you do for a living ?
what do you do for a living ?	I'm saying that i'm  Doctor
I'm saying that i'm  Doctor	oh , i am sorry to hear that .
oh , i am sorry to hear that .	Why sorry?
Why sorry?	because i am not a big fan of my family
because i am not a big fan of my family	I don't understand?
I don't understand?	oh , i am sorry .
oh , i am sorry .	you can explain me
you can explain me	i like to go to the beach and listen to music
i like to go to the beach and listen to music	oh it's cool
oh it's cool	what do you do for a living ?
what do you do for a living ?	I'm doctor
I'm doctor	oh , that is cool . i'm a doctor .
oh , that is cool . i'm a doctor .	oh really?
oh really?	what do you do for a living ?
what do you do for a living ?	Do you like be a doctor?
Do you like be a doctor?	yes , i do . do you have any hobbies ?
yes , i do . do you have any hobbies ?	yes
yes	what do you do for a living ?
what do you do for a living ?	I like read
I like read	i like reading too . i like to read .
i like reading too . i like to read .	I'm bored
I'm bored	what do you do for a living ?
what do you do for a living ?	I'm bored to talk with u
I'm bored to talk with u	what do you do for a living ?
what do you do for a living ?	But it's interesting
But it's interesting	i like to go to the beach .
i like to go to the beach .	I'm a doctor
I'm a doctor	that is cool . what do you do for a living ?
that is cool . what do you do for a living ?	i'm now looking for a new job.
i'm now looking for a new job.	what do you do for a living ?
what do you do for a living ?	I'm doctro
I'm doctro	what do you do for a living ?
what do you do for a living ?	doctor
doctor	It's cool
It's cool	what do you do for a living ?
what do you do for a living ?	i'm a doctor
i'm a doctor	that is cool . what do you do for a living ?
that is cool . what do you do for a living ?	I'm a doctor
I'm a doctor	that is cool . what do you do for a living ?
that is cool . what do you do for a living ?	I'm doctor
I'm doctor	oh , that is cool . i'm a doctor .
oh , that is cool . i'm a doctor .	i'm now looking for a new job.
i'm now looking for a new job.	what do you do for a living ?
Hello!	hello, how are you? I am in college. I work for a bar
hello, how are you? I am in college. I work for a bar	My favorite music is Britney Spears. I want to look fabulous, so I spend a lot of money on tanning beds
My favorite music is Britney Spears. I want to look fabulous, so I spend a lot of money on tanning beds	I love tanning beds. I am a nurse. what do you do for work?
I love tanning beds. I am a nurse. what do you do for work?	I am a structural biologist
I am a structural biologist	do you have any hobbies? I love to work at night. what about you?
do you have any hobbies? I love to work at night. what about you?	I like crocheting but not knitting. Knitting is dull.
I like crocheting but not knitting. Knitting is dull.	do you like to work? I work in a bar. I love it
do you like to work? I work in a bar. I love it	I like it very much.
I like it very much.	it is. I like to go to college. do you? I'm a nurse
it is. I like to go to college. do you? I'm a nurse	I liked it when I was a student, too.
I liked it when I was a student, too.	oh, I am sorry to hear that. what is your favorite music?
oh, I am sorry to hear that. what is your favorite music?	Britney Spears, and yours?
Britney Spears, and yours?	I love britney spears. it is my favorite. what kind of music?
I love britney spears. it is my favorite. what kind of music?	All of it
All of it	I love music. I like all kinds of music
I love music. I like all kinds of music	Even Russian rap?
Even Russian rap?	I do not like russian rap, but I love all types of music
I do not like russian rap, but I love all types of music	Yep, youre absolutely right. Russian rap is not music.
Yep, youre absolutely right. Russian rap is not music.	I love russian rap. what kind of
hey	Hi how are you today what about you? 
Hi how are you today what about you? 	i am good how are you?
i am good how are you?	I am good thanks for asking what is your favorite dish?
I am good thanks for asking what is your favorite dish?	indian dish named as samosa
indian dish named as samosa	I love Indian food. What do you do for a living?
I love Indian food. What do you do for a living?	i work at burger king as a part time job
i work at burger king as a part time job	I'm a waitress at a local restaurant.
I'm a waitress at a local restaurant.	which restaurant?
which restaurant?	It's a local one. What song? 
It's a local one. What song? 	so what are your specs?
so what are your specs?	I wear contacts so I can see better
I wear contacts so I can see better	nice i don't wear them my eyes are better
nice i don't wear them my eyes are better	Oh okay. So what do you do for fun?
Oh okay. So what do you do for fun?	cry in my room
cry in my room	That sounds awful. Maybe you should go see a doctor. Do you speak Urdu or Hindi?
That sounds awful. Maybe you should go see a doctor. Do you speak Urdu or Hindi?	yes i speak hindi
yes i speak hindi	I want to be a nurse like my mom.
I want to be a nurse like my mom.	but you are a waitress
but you are a waitress	What color are your eyes?
What color are your eyes?	brown, and your?
brown, and your?	My eyes are brown. 
My eyes are brown. 	same same
same same	What is your favorite color?
What is your favorite color?	black and your?
black and your?	That is a good one. How at us?
Hi!	Hello, how are you?
hey i like to volunteer	I love to volunteer at the animal shelter
I love to volunteer at the animal shelter	which animals do you like?
which animals do you like?	I love poodles. I also love chickens.
I love poodles. I also love chickens.	That's cool. I workout in my spare time
That's cool. I workout in my spare time	That is cool. I like to run. What kind of dogs do you have?
That is cool. I like to run. What kind of dogs do you have?	I don't have any dogs but i do have a cat
I don't have any dogs but i do have a cat	Cool! I have a cat named radar.
Cool! I have a cat named radar.	That's nice. What do you feed your cat?
